in	IN	O
this	DT	O
respect	NN	O
,	,	O
that	IN	O
the	DT	O
niche	NN	B-Quality
is	VBZ	O
a	DT	O
vacant	JJ	O
one	NN	O
,	,	O
as	IN	O
there	EX	O
are	VBP	O
no	DT	O
other	JJ	O
leaf-miners	NNS	B-Biotic_Entity
nor	CC	O
other	JJ	O
regular	JJ	O
lepidopteran	NN	B-Biotic_Entity-L
herbivores	NNS	I-Biotic_Entity
on	IN	O
horse-chestnut	NN	B-Biotic_Entity
,	,	O
although	IN	O
up	IN	O
to	TO	O
11	CD	B-Value
polyphagous	JJ	B-Quality
species	NNS	B-Biotic_Entity
of	IN	O
tortricids	NNS	B-Biotic_Entity-L
,	,	O
geometrids	NNS	B-Biotic_Entity-L
and	CC	O
noctuids	NNS	B-Biotic_Entity-L
have	VBP	O
been	VBN	O
reported	VBN	O
to	TO	O
attack	VB	B-Eventuality
the	DT	O
tree	NN	B-Biotic_Entity
outside	IN	O
its	PRP$	O
natural	JJ	B-Quality
range	NN	B-Quality
in	IN	O
Turkey	NNP	B-Location
(	(	O
Cebeci	NNP	O
and	CC	O
Acer	NNP	O
,	,	O
2007	CD	O
)	)	O
.	.	O
_S_B_	_S_B_	O
24	CD	B-Value
species	NNS	B-Biotic_Entity
,	,	O
mainly	RB	O
noctuids	NNS	B-Biotic_Entity-L
,	,	O
lymantriids	NNS	B-Biotic_Entity-L
,	,	O
geometrids	NNS	B-Biotic_Entity-L
,	,	O
saturniids	NNS	B-Biotic_Entity-L
and	CC	O
tortricids	NNS	B-Biotic_Entity-L
are	VBP	O
also	RB	O
recorded	VBN	O
on	IN	O
the	DT	O
NHM	NNP	O
hosts	NNS	O
database	VBP	O
feeding	VBG	B-Eventuality
on	IN	O
A.	NN	B-Biotic_Entity
hippocastanum	NN	I-Biotic_Entity
but	CC	O
most	JJS	O
of	IN	O
these	DT	O
are	VBP	O
polyphagous	JJ	B-Quality
nearctic	JJ	B-Quality
species	NNS	B-Biotic_Entity
and	CC	O
in	IN	O
Europe	NNP	B-Location
,	,	O
only	RB	O
Acronicta	NNP	B-Biotic_Entity-L
aceris	NN	I-Biotic_Entity
and	CC	O
Saturnia	NNP	B-Biotic_Entity-L
pyri	NN	I-Biotic_Entity
and	CC	O
the	DT	O
internal	JJ	B-Quality
feeder	NN	B-Biotic_Entity
Zeuzera	NNP	B-Biotic_Entity-L
pyri	NN	I-Biotic_Entity
were	VBD	O
previously	RB	O
recorded	VBN	O
to	TO	O
feed	VB	B-Eventuality
this	DT	O
tree	NN	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
Thus	RB	O
,	,	O
the	DT	O
report	NN	O
by	IN	O
Cebeci	NNP	O
and	CC	O
Acer	NNP	O
(	(	O
2007	CD	O
)	)	O
that	WDT	O
includes	VBZ	O
the	DT	O
Horse	NNP	B-Biotic_Entity
Chestnut	NNP	I-Biotic_Entity
moth	NNP	I-Biotic_Entity
Pachycnemia	NNP	B-Biotic_Entity-L
hippocastanaria	NN	I-Biotic_Entity
(	(	O
Hubner	NNP	O
,	,	O
1799	CD	O
)	)	O
(	(	O
which	WDT	O
is	VBZ	O
normally	RB	O
Erica-feeding	JJ	B-Eventuality
)	)	O
as	IN	O
a	DT	O
"	JJ	O
pest	NN	B-Biotic_Entity
"	NN	O
of	IN	O
the	DT	O
tree	NN	B-Biotic_Entity
seems	VBZ	O
surprising	JJ	O
,	,	O
since	IN	O
there	EX	O
appears	VBZ	O
to	TO	O
be	VB	O
no	DT	O
other	JJ	O
evidence	NN	O
that	IN	O
this	DT	O
species	VBZ	B-Biotic_Entity
regularly	RB	O
feeds	NNS	B-Eventuality
on	IN	I-Eventuality
horse-chestnut	NN	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
The	DT	O
names	NNS	O
of	IN	O
this	DT	O
last	JJ	O
species	NNS	B-Biotic_Entity
and	CC	O
the	DT	O
March	NNP	B-Biotic_Entity
Moth	NNP	I-Biotic_Entity
Alsophila	NNP	B-Biotic_Entity-L
aescularia	NN	I-Biotic_Entity
(	(	O
[	NNP	O
Denis	NNP	O
&	CC	O
Schiffermucller	NNP	O
]	NNP	O
,	,	O
1775	CD	O
)	)	O
seem	VBP	O
more	RBR	O
likely	JJ	O
to	TO	O
have	VB	O
been	VBN	O
derived	VBN	O
from	IN	O
observations	NNS	O
of	IN	O
the	DT	O
adults	NNS	B-Biotic_Entity
sitting	VBG	B-Eventuality
on	IN	O
the	DT	O
trunks	NNS	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
Most	JJS	O
parasitoids	NNS	B-Biotic_Entity-L
are	VBP	O
generalist	JJ	B-Biotic_Entity
and	CC	O
Cameraria	NNP	B-Biotic_Entity-L
ohridella	NN	I-Biotic_Entity
has	VBZ	O
successfully	RB	B-Eventuality
recruited	VBN	B-Eventuality
many	JJ	O
species	NNS	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
The	DT	O
invasive	JJ	B-Quality
moth	NN	B-Biotic_Entity
appears	VBZ	O
to	TO	O
have	VB	O
an	DT	O
ecosystem	JJ	B-Aggregate_Biotic_Abiotic_Entity
impact	NN	B-Eventuality
by	IN	O
depressing	VBG	B-Eventuality
the	DT	O
abundance	NN	B-Quality
of	IN	O
leaf	JJ	B-Biotic_Entity
miner	NN	I-Biotic_Entity
communities	NNS	I-Biotic_Entity
in	IN	O
the	DT	O
vicinity	NN	O
of	IN	O
infected	JJ	B-Eventuality
trees	NNS	B-Biotic_Entity
,	,	O
possibly	RB	O
via	IN	O
shared	VBN	B-Eventuality
natural	JJ	B-Biotic_Entity
enemies	NNS	I-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
Current	JJ	O
research	NN	O
with	IN	O
the	DT	O
aim	NN	O
of	IN	O
finding	VBG	O
a	DT	O
biocontrol	NN	B-Eventuality
agent	NN	B-Biotic_Entity
focuses	VBZ	O
on	IN	O
parasitoids	NNS	B-Biotic_Entity-L
in	IN	O
the	DT	O
region	NN	B-Aggregate_Biotic_Abiotic_Entity
of	IN	O
relict	NN	B-Quality
populations	NNS	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
There	EX	O
are	VBP	O
many	JJ	O
parasitoids	NNS	B-Biotic_Entity-L
so	RB	O
far	RB	O
recorded	JJ	O
,	,	O
but	CC	O
the	DT	O
chalcidoid	JJ	B-Biotic_Entity-L
eulophid	NN	B-Biotic_Entity-L
genera	NN	B-Biotic_Entity-L
Chrysocharis	NNP	B-Biotic_Entity-L
,	,	O
Closterocerus	NNP	B-Biotic_Entity-L
(	(	O
C.	NNP	B-Biotic_Entity
trifasciatus	RB	I-Biotic_Entity
Westwood	NNP	O
)	)	O
Minotetrastichus	NNP	B-Biotic_Entity-L
(	(	O
M.	NNP	B-Biotic_Entity
frontalis	NN	I-Biotic_Entity
)	)	O
,	,	O
Pnigalio	NNP	B-Biotic_Entity-L
(	(	O
P.	NNP	B-Biotic_Entity
agraulius	NN	I-Biotic_Entity
)	)	O
and	CC	O
Pediobius	NNP	B-Biotic_Entity
are	VBP	O
important	JJ	O
and	CC	O
especially	RB	O
P.	NNP	B-Biotic_Entity
saulius	NN	I-Biotic_Entity
,	,	O
a	DT	O
pupal	JJ	B-Biotic_Entity-L
parasitoid	NN	I-Biotic_Entity
,	,	O
which	WDT	O
seems	VBZ	O
to	TO	O
respond	VB	B-Eventuality
sensitively	RB	O
to	TO	O
Cameraria	NNP	B-Biotic_Entity-L
abundance	NN	B-Quality
following	VBG	O
several	JJ	B-Time
years	NNS	I-Time
of	IN	O
presence	NN	B-Quality
.	.	O
_S_B_	_S_B_	O
Cirropsilus	NNP	B-Biotic_Entity-L
talitizkii	NN	I-Biotic_Entity
also	RB	O
seems	VBZ	O
to	TO	O
be	VB	O
actively	RB	B-Quality
tracking	VBG	B-Eventuality
the	DT	O
colonisation	NN	B-Eventuality
of	IN	O
the	DT	O
moth	NN	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
Most	JJS	O
chalcidoids	NNS	B-Biotic_Entity-L
and	CC	O
braconids	NNS	B-Biotic_Entity-L
attack	NN	B-Eventuality
larval	JJ	B-Biotic_Entity
stages	NNS	I-Biotic_Entity
but	CC	O
some	DT	O
ichneumonids	NNS	B-Biotic_Entity-L
parasitize	VBP	B-Eventuality
the	DT	O
pupa	NN	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
No	DT	O
parasitoids	NNS	B-Biotic_Entity-L
have	VBP	O
been	VBN	O
found	VBN	B-Eventuality
on	IN	O
eggs	NNS	B-Biotic_Entity
although	IN	O
the	DT	O
eggs	NNS	B-Biotic_Entity
are	VBP	O
very	RB	O
small	JJ	B-Quality
.	.	O
_S_B_	_S_B_	O
The	DT	O
parasitoid	NN	B-Biotic_Entity-L
community	NN	I-Biotic_Entity
has	VBZ	O
been	VBN	O
investigated	VBN	O
in	IN	O
detail	NN	O
in	IN	O
some	DT	O
places	NNS	B-Aggregate_Biotic_Abiotic_Entity
such	JJ	O
as	IN	O
Serbia	NNP	B-Location
,	,	O
where	WRB	O
it	PRP	O
has	VBZ	O
little	JJ	B-Quality
effect	NN	B-Eventuality
on	IN	O
Cameraria	NNP	B-Biotic_Entity-L
abundance	NN	B-Quality
and	CC	O
Slovenia	NNP	B-Location
.	.	O
_S_B_	_S_B_	O
Rate	NN	B-Quality
of	IN	O
parasitism	NN	B-Eventuality
is	VBZ	O
exceptionally	RB	O
low	JJ	B-Quality
for	IN	O
a	DT	O
gracillariid	NN	B-Biotic_Entity-L
species	NNS	I-Biotic_Entity
,	,	O
usually	RB	O
below	IN	O
10	CD	B-Value
%	NN	B-Unit
,	,	O
and	CC	O
does	VBZ	O
not	RB	O
generally	RB	O
exceed	VBP	O
25	CD	B-Value
%	NN	B-Unit
with	IN	O
a	DT	O
normal	JJ	B-Quality
range	NN	B-Quality
in	IN	O
the	DT	O
Balkans	NNPS	B-Location
of	IN	O
3.6-21	CD	B-Value
%	NN	B-Unit
,	,	O
a	DT	O
range	NN	B-Quality
not	RB	O
varying	VBG	B-Eventuality
between	IN	O
natural	JJ	B-Aggregate_Biotic_Abiotic_Entity
and	CC	O
artificial	JJ	B-Aggregate_Biotic_Abiotic_Entity
stands	NNS	I-Aggregate_Biotic_Abiotic_Entity
.	.	O
_S_B_	_S_B_	O
One	CD	O
reason	NN	O
for	IN	O
this	DT	O
low	JJ	O
level	NN	O
may	MD	O
be	VB	O
that	DT	O
local	JJ	B-Quality
generalist	NN	B-Biotic_Entity-L
parasitoids	NNS	I-Biotic_Entity
are	VBP	O
busy	JJ	B-Eventuality
using	VBG	B-Eventuality
different	JJ	O
hosts	NNS	B-Biotic_Entity
and	CC	O
thus	RB	O
do	VBP	O
not	RB	O
tend	VB	B-Eventuality
to	TO	O
adopt	VB	B-Eventuality
Cameraria	NNP	B-Biotic_Entity-L
rapidly	RB	B-Quality
in	IN	B-Time
the	DT	I-Time
season	NN	I-Time
soon	RB	I-Time
after	IN	O
emergence	NN	B-Eventuality
of	IN	O
adults	NNS	B-Biotic_Entity
.	.	O
_S_B_	_S_B_	O
Over	IN	O
60	CD	B-Value
generalist	JJ	B-Biotic_Entity-L
parasitoids	NNS	I-Biotic_Entity
have	VBP	O
been	VBN	O
recorded	VBN	O
.	.	O
_S_B_	_S_B_	O
The	DT	O
list	NN	O
of	IN	O
de	FW	O
Prins	NNP	O
and	CC	O
de	FW	O
Prins	NNP	O
,	,	O
2005	CD	O
documents	NNS	O
the	DT	O
following	JJ	O
parasitoid	NN	B-Biotic_Entity-L
generic	JJ	B-Quality
and	CC	O
species	NNS	O
records	NNS	O
for	IN	O
C.	NNP	B-Biotic_Entity
ohridella	NN	I-Biotic_Entity
:	:	O
Chalcidoidea	NN	B-Biotic_Entity-L
:	:	O
Encyrtidae	NN	B-Biotic_Entity-L
:	:	O
Isodromus	NNP	B-Biotic_Entity-L
vinulus	NN	I-Biotic_Entity
;	:	O
Eulophidae	NNP	B-Biotic_Entity-L
:	:	O
Elachertinae	NN	B-Biotic_Entity-L
:	:	O
Cirrospilus	CC	B-Biotic_Entity-L
elegantissimus	VB	I-Biotic_Entity
Westwood	NNP	O
,	,	O
1832	CD	O
,	,	O
C.	NNP	B-Biotic_Entity
pictus	NN	I-Biotic_Entity
,	,	O
C.	NNP	B-Biotic_Entity
singa	NN	I-Biotic_Entity
Walker	NNP	O
,	,	O
1838	CD	O
,	,	O
C.	NNP	B-Biotic_Entity
talitzkii	NN	I-Biotic_Entity
Boucek	NNP	O
,	,	O
1961	CD	O
,	,	O
C.	NNP	B-Biotic_Entity
variegatus	NN	I-Biotic_Entity
,	,	O
C.	NNP	B-Biotic_Entity
viticola	NNP	I-Biotic_Entity
,	,	O
C.	NNP	B-Biotic_Entity
vittatus	NN	I-Biotic_Entity
Walker	NNP	O
,	,	O
1838	CD	O
;	:	O
Elachertus	NNP	B-Biotic_Entity-L
inunctus	NN	I-Biotic_Entity
Nees	NNP	O
;	:	O
Aprostocetus	NNP	B-Biotic_Entity-L
sp	NN	I-Biotic_Entity
.	.	I-Biotic_Entity
_S_B_	_S_B_	O
;	:	O
Elasminae	NN	B-Biotic_Entity-L
:	:	O
Melittobia	NNP	B-Biotic_Entity-L
acasta	NN	I-Biotic_Entity
(	(	O
Walker	NNP	O
)	)	O
,	,	O
1922	CD	O
)	)	O
;	:	O
Entedoninae	NNP	B-Biotic_Entity-L
:	:	O
Chrysocharis	NNP	B-Biotic_Entity-L
nephereus	RB	I-Biotic_Entity
,	,	O
C.	NNP	B-Biotic_Entity
orchestis	NN	I-Biotic_Entity
(	(	O
Ratzeburg	NNP	O
)	)	O
,	,	O
C.	NNP	B-Biotic_Entity
pentheus	NN	I-Biotic_Entity
,	,	O
Chrysocharis	NNP	B-Biotic_Entity-L
phryne	NN	I-Biotic_Entity
,	,	O
C.	NNP	B-Biotic_Entity
purpurea	NN	I-Biotic_Entity
Bukowski	NNP	O
,	,	O
1938	CD	O
,	,	O
Closterocerus	NNP	B-Biotic_Entity-L
delucchi	NN	I-Biotic_Entity
,	,	O
Closterocerus	NNP	B-Biotic_Entity-L
lyonetiae	NN	I-Biotic_Entity
(	(	O
Ferriere	NNP	O
)	)	O
,	,	O
C.	NNP	B-Biotic_Entity
trifasciatus	NN	I-Biotic_Entity
Westwood	NNP	O
,	,	O
1833	CD	O
,	,	O
Neochrysocharis	NNP	B-Biotic_Entity-L
chlorogaster	NN	I-Biotic_Entity
(	(	O
Erd	NNP	O
.	.	O
_S_B_	_S_B_	O
)	)	O
,	,	O
Diglyphus	NNP	B-Biotic_Entity-L
isaea	NN	I-Biotic_Entity
,	,	O
Euplectrus	NNP	B-Biotic_Entity-L
bicolor	NN	I-Biotic_Entity
,	,	O
Hemiptarsenus	NNP	B-Biotic_Entity-L
dropion	NN	I-Biotic_Entity
(	(	O
Walker	NNP	O
)	)	O
,	,	O
H.	NNP	B-Biotic_Entity
ornatus	NN	I-Biotic_Entity
,	,	O
Pediobius	NNP	B-Biotic_Entity-L
saulius	NN	I-Biotic_Entity
;	:	O
Pnigalio	NNP	B-Biotic_Entity-L
agraules	VBZ	I-Biotic_Entity
,	,	O
P.	NNP	B-Biotic_Entity
longulus	CC	I-Biotic_Entity
,	,	O
P.	NNP	B-Biotic_Entity
pectinicornis	NN	I-Biotic_Entity
,	,	O
Pnigalio	NNP	B-Biotic_Entity-L
populifoliellae	NN	I-Biotic_Entity
Erdos	NNP	O
,	,	O
P.	NNP	B-Biotic_Entity
soemius	NN	I-Biotic_Entity
,	,	O
Sympiesis	NNP	B-Biotic_Entity-L
euspilapterygis	NN	I-Biotic_Entity
(	(	O
Erdos	NNP	O
)	)	O
,	,	O
S.	NNP	B-Biotic_Entity
gordius	NN	I-Biotic_Entity
;	:	O
S.	NNP	B-Biotic_Entity
sericeicornis	NN	I-Biotic_Entity
;	:	O
Tetrastichinae	NNP	B-Biotic_Entity-L
:	:	O
Baryscapus	NNP	B-Biotic_Entity-L
nigroviolaceus	NN	I-Biotic_Entity
;	:	O
Eutetrastichus	NNP	B-Biotic_Entity-L
amethystinus	NN	I-Biotic_Entity
(	(	O
Ratzeburg	NNP	O
)	)	O
,	,	O
Minotetrastichus	NNP	B-Biotic_Entity-L
frontalis	NN	I-Biotic_Entity
,	,	O
M.	NNP	B-Biotic_Entity
platanellus	NN	I-Biotic_Entity
(	(	O
Mercet	NNP	O
)	)	O
;	:	O
Eupelmidae	NNP	B-Biotic_Entity-L
:	:	O
Eupelmus	NNP	B-Biotic_Entity-L
urozonus	NN	I-Biotic_Entity
,	,	O
E.	NNP	B-Biotic_Entity
vesicularis	VBP	I-Biotic_Entity
;	:	O
Pteromalidae	NNP	B-Biotic_Entity-L
:	:	O
Mesopolobus	NNP	B-Biotic_Entity-L
sp.	NN	I-Biotic_Entity
,	,	O
Pteromalus	NNP	B-Biotic_Entity-L
semotus	NN	I-Biotic_Entity
;	:	O
Ichneumonoidea	NNP	B-Biotic_Entity-L
:	:	O
Braconidae	NN	B-Biotic_Entity-L
:	:	O
Blacus	NNP	B-Biotic_Entity-L
maculipes	VBZ	I-Biotic_Entity
Wesmael	NNP	O
,	,	O
Colastes	NNP	B-Biotic_Entity-L
braconius	VBD	I-Biotic_Entity
Haliday	NNP	O
,	,	O
1833	CD	O
,	,	O
C.	NNP	B-Biotic_Entity
flavitarsis	NN	I-Biotic_Entity
Thomson	NNP	O
,	,	O
Pholetesor	NNP	B-Biotic_Entity-L
circumscriptus	NN	I-Biotic_Entity
;	:	O
Ichneumonidae	NNP	B-Biotic_Entity-L
:	:	O
Adelognathus	NNP	B-Biotic_Entity-L
sp.	NN	I-Biotic_Entity
,	,	O
Gelis	NNP	B-Biotic_Entity-L
aerator	NN	I-Biotic_Entity
,	,	O
G.	NNP	B-Biotic_Entity
agilis	NN	I-Biotic_Entity
(	(	O
Fabricius	NNP	O
)	)	O
,	,	O
Itoplectis	NNP	B-Biotic_Entity-L
alternans	VBZ	I-Biotic_Entity
,	,	O
I.	NNP	B-Biotic_Entity
clavicornis	NN	I-Biotic_Entity
(	(	O
Thompson	NNP	O
)	)	O
,	,	O
I.	NNP	B-Biotic_Entity
maculator	NN	I-Biotic_Entity
(	(	O
Fabricius	NNP	O
)	)	O
,	,	O
Scambus	NNP	B-Biotic_Entity-L
annulatus	NN	I-Biotic_Entity
,	,	O
S.	NNP	B-Biotic_Entity
brevicornis	NN	I-Biotic_Entity
(	(	O
Gravenhorst	NNP	O
)	)	O
,	,	O
Zatypota	NNP	B-Biotic_Entity-L
percontatoria	NN	I-Biotic_Entity
(	(	O
Muller	NNP	O
)	)	O
.	.	O
_S_B_	_S_B_	O
Sims	NNP	O
et	CC	O
al.	NN	O
used	VBN	O
a	DT	O
fast-acquisition	NN	O
global	JJ	O
positioning	NN	O
system	NN	O
(	(	O
Fastloc	NNP	O
GPS	NNP	O
)	)	O
tag	NN	O
with	IN	O
remote	JJ	O
data	NNS	O
retrieval	NN	O
to	TO	O
track	VB	O
long-term	JJ	B-Time
movements	NNS	B-Eventuality
of	IN	O
three	CD	B-Value
Ocean	NNP	B-Biotic_Entity-L
Sunfish	NNP	I-Biotic_Entity
(	(	O
Mola	NNP	B-Biotic_Entity
mola	NNP	I-Biotic_Entity
)	)	O
captured	VBD	O
and	CC	O
tagged	VBD	O
off	RP	O
southern	JJ	B-Location
Portugal	NNP	I-Location
.	.	O
_S_B_	_S_B_	O
This	DT	O
allowed	VBD	O
tracking	VBG	O
in	IN	O
near	JJ	B-Time
real	JJ	I-Time
time	NN	I-Time
with	IN	O
position	NN	O
accuracy	NN	O
of	IN	O
<	$	O
70	CD	B-Value
m	NN	B-Unit
.	.	O
_S_B_	_S_B_	O
These	DT	I-Unit
fish	JJ	B-Biotic_Entity
are	VBP	O
known	VBN	O
to	TO	O
dive	VB	B-Eventuality
to	TO	O
depths	NNS	B-Quality
of	IN	O
at	IN	O
least	JJS	O
472	CD	B-Value
m	NNS	B-Unit
and	CC	O
can	MD	O
often	RB	O
remain	VB	B-Eventuality
at	IN	O
deep	JJ	B-Quality
depths	NNS	B-Quality
for	IN	B-Time
long	JJ	I-Time
periods	NNS	I-Time
,	,	O
only	RB	O
returning	VBG	B-Eventuality
occasionally	RB	O
,	,	O
and	CC	O
then	RB	O
often	RB	O
only	RB	O
briefly	NN	B-Time
,	,	O
to	TO	O
the	DT	O
surface	NN	B-Aggregate_Biotic_Abiotic_Entity
.	.	O
_S_B_	_S_B_	O
The	DT	O
system	NN	O
implemented	VBD	O
permitted	JJ	O
reception	NN	O
and	CC	O
transmission	NN	O
of	IN	O
location	NN	O
information	NN	O
whenever	WRB	O
the	DT	O
fish	NN	B-Biotic_Entity
came	VBD	B-Eventuality
close	RB	O
to	TO	O
the	DT	O
surface	NN	B-Aggregate_Biotic_Abiotic_Entity
.	.	O
_S_B_	_S_B_	O
According	VBG	O
to	TO	O
Sims	NNP	O
et	FW	O
al.	NN	O
,	,	O
their	PRP$	O
study	NN	O
represents	VBZ	O
the	DT	O
first	JJ	O
demonstration	NN	O
of	IN	O
long-term	JJ	B-Time
(	(	O
>	JJ	O
90	CD	B-Time
days	NNS	I-Time
)	)	O
GPS	NNP	O
tracking	NN	O
of	IN	O
a	DT	O
large	JJ	B-Quality
pelagic	JJ	B-Biotic_Entity-L
fish	NN	I-Biotic_Entity
and	CC	O
shows	VBZ	O
the	DT	O
great	JJ	O
potential	NN	O
for	IN	O
this	DT	O
technique	NN	O
,	,	O
whereby	WRB	O
GPS-quality	NNP	O
location	NN	O
data	NNS	O
are	VBP	O
retrieved	VBN	O
remotely	RB	O
via	IN	O
conventional	JJ	O
Argos	NNP	O
satellites	NNS	O
.	.	O
_S_B_	_S_B_	O
By	IN	O
freeing	VBG	O
researchers	NNS	O
from	IN	O
the	DT	O
restriction	NN	O
of	IN	O
working	VBG	O
on	IN	O
estuarine	NN	B-Aggregate_Biotic_Abiotic_Entity
or	CC	O
nearshore	NN	B-Aggregate_Biotic_Abiotic_Entity
species	NNS	O
in	IN	O
order	NN	O
to	TO	O
physically	RB	O
recover	VB	O
tags	NNS	O
to	TO	O
download	VB	O
GPS	NNP	O
acquisition	NN	O
data	NNS	O
,	,	O
this	DT	O
technique	NN	O
offers	VBZ	O
tremendous	JJ	O
potential	NN	O
for	IN	O
tracking	VBG	O
large	JJ	B-Quality
pelagic	JJ	B-Quality
fish	NN	B-Biotic_Entity
species	NNS	I-Biotic_Entity
that	WDT	O
surface	VBP	B-Eventuality
relatively	RB	O
frequently	RB	O
.	.	O
_S_B_	_S_B_	O
Although	IN	O
the	DT	O
high	JJ	O
spatial	JJ	O
accuracy	NN	O
of	IN	O
this	DT	O
technique	NN	O
for	IN	O
fish	NN	B-Biotic_Entity
in	IN	O
open	JJ	B-Aggregate_Biotic_Abiotic_Entity
ocean	NN	I-Aggregate_Biotic_Abiotic_Entity
habitats	NNS	I-Aggregate_Biotic_Abiotic_Entity
has	VBZ	O
practical	JJ	O
applications	NNS	O
for	IN	O
both	DT	O
fisheries	NNS	O
and	CC	O
conservation	NN	O
,	,	O
it	PRP	O
will	MD	O
not	RB	O
be	VB	O
suitable	JJ	O
for	IN	O
fish	JJ	B-Biotic_Entity
species	NNS	I-Biotic_Entity
that	WDT	O
remain	VBP	B-Eventuality
in	IN	O
deep	JJ	B-Aggregate_Biotic_Abiotic_Entity
water	NN	I-Aggregate_Biotic_Abiotic_Entity
after	IN	O
tagging	VBG	O
.	.	O
_S_B_	_S_B_	O
In	IN	B-Time
the	DT	I-Time
early	JJ	I-Time
part	NN	I-Time
of	IN	I-Time
the	DT	I-Time
20th	JJ	I-Time
Century	NNP	I-Time
,	,	O
Ocean	NNP	B-Biotic_Entity-L
Sunfish	NNP	I-Biotic_Entity
were	VBD	O
sometimes	RB	O
described	VBN	O
as	IN	O
active	JJ	B-Eventuality
swimmers	NNS	B-Biotic_Entity
,	,	O
but	CC	O
in	IN	O
other	JJ	O
cases	NNS	O
described	VBN	O
as	IN	O
sluggish	JJ	B-Quality
,	,	O
inefficient	JJ	B-Quality
swimmers	NNS	B-Biotic_Entity
,	,	O
passively	RB	B-Quality
carried	VBN	B-Eventuality
by	IN	O
ocean	JJ	B-Eventuality
currents	NNS	I-Eventuality
.	.	O
_S_B_	_S_B_	O
Modern	JJ	O
tracking	VBG	O
studies	NNS	O
of	IN	O
these	DT	O
fish	JJ	B-Biotic_Entity
using	VBG	O
attached	VBN	O
acoustic	JJ	O
transmitters	NNS	O
,	,	O
acceleration	NN	O
dataloggers	NNS	O
,	,	O
and	CC	O
satellite-linked	JJ	O
archival	NN	O
transmitters	NNS	O
have	VBP	O
demonstrated	VBN	O
that	IN	O
they	PRP	O
are	VBP	O
active	JJ	B-Eventuality
swimmers	NNS	B-Biotic_Entity
both	DT	O
horizontally	RB	O
and	CC	O
vertically	RB	O
.	.	O
_S_B_	_S_B_	O
Sims	NNP	O
et	CC	O
al.	NN	O
found	VBD	O
that	IN	O
the	DT	O
Ocean	NNP	B-Biotic_Entity-L
Sunfish	NNP	I-Biotic_Entity
they	PRP	O
tracked	VBD	O
covered	VBN	B-Eventuality
around	IN	O
10	CD	B-Value
to	TO	O
20	CD	B-Value
km	NNS	B-Unit
per	IN	I-Unit
day	NN	I-Unit
,	,	O
a	DT	O
rate	NN	B-Quality
that	WDT	O
is	VBZ	O
comparable	JJ	O
to	TO	O
the	DT	O
movements	NNS	B-Eventuality
of	IN	O
pelagic	NN	B-Biotic_Entity-L
